countrycode,country,city,year,subject,value
ROU,Romania,Bucharest,2009,Number of children 0-4 in day care or school,-
ROU,Romania,Bucharest,2009,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2009,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","376,975"
ROU,Romania,Bucharest,2009,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2009,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2009,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2009,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
ROU,Romania,Bucharest,2009,Share of students in higher education in the total population (per 1000 persons),194
ROU,Romania,Bucharest,2009,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2010,Number of children 0-4 in day care or school,-
ROU,Romania,Bucharest,2010,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2010,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","291,972"
ROU,Romania,Bucharest,2010,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2010,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2010,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2010,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
ROU,Romania,Bucharest,2010,Share of students in higher education in the total population (per 1000 persons),135
ROU,Romania,Bucharest,2010,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2011,Number of children 0-4 in day care or school,"1,937"
ROU,Romania,Bucharest,2011,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2011,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","224,166"
ROU,Romania,Bucharest,2011,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2011,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2011,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2011,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,18.2
ROU,Romania,Bucharest,2011,Share of students in higher education in the total population (per 1000 persons),104
ROU,Romania,Bucharest,2011,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2012,Number of children 0-4 in day care or school,"2,691"
ROU,Romania,Bucharest,2012,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2012,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","192,477"
ROU,Romania,Bucharest,2012,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2012,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2012,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2012,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,25.5
ROU,Romania,Bucharest,2012,Share of students in higher education in the total population (per 1000 persons),90
ROU,Romania,Bucharest,2012,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2013,Number of children 0-4 in day care or school,"28,093"
ROU,Romania,Bucharest,2013,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2013,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","128,883"
ROU,Romania,Bucharest,2013,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2013,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2013,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2013,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,274.4
ROU,Romania,Bucharest,2013,Share of students in higher education in the total population (per 1000 persons),60
ROU,Romania,Bucharest,2013,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2014,Number of children 0-4 in day care or school,"31,136"
ROU,Romania,Bucharest,2014,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2014,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","125,345"
ROU,Romania,Bucharest,2014,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2014,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2014,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2014,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,316.9
ROU,Romania,Bucharest,2014,Share of students in higher education in the total population (per 1000 persons),59
ROU,Romania,Bucharest,2014,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2015,Number of children 0-4 in day care or school,"29,366"
ROU,Romania,Bucharest,2015,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2015,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","170,353"
ROU,Romania,Bucharest,2015,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2015,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2015,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2015,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,306.3
ROU,Romania,Bucharest,2015,Share of students in higher education in the total population (per 1000 persons),81
ROU,Romania,Bucharest,2015,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2016,Number of children 0-4 in day care or school,"29,588"
ROU,Romania,Bucharest,2016,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2016,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","172,038"
ROU,Romania,Bucharest,2016,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2016,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2016,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2016,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
ROU,Romania,Bucharest,2016,Share of students in higher education in the total population (per 1000 persons),-
ROU,Romania,Bucharest,2016,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
ROU,Romania,Bucharest,2017,Number of children 0-4 in day care or school,-
ROU,Romania,Bucharest,2017,"Share of early leavers from education and training, total -%",-
ROU,Romania,Bucharest,2017,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
ROU,Romania,Bucharest,2017,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
ROU,Romania,Bucharest,2017,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
ROU,Romania,Bucharest,2017,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
ROU,Romania,Bucharest,2017,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
ROU,Romania,Bucharest,2017,Share of students in higher education in the total population (per 1000 persons),-
ROU,Romania,Bucharest,2017,Proportion of working age population qualified at level 3 or 4 ISCED,-
ROU,Romania,Bucharest,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2008,Number of children 0-4 in day care or school,"60,504"
HUN,Hungary,Budapest,2008,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2008,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","165,183"
HUN,Hungary,Budapest,2008,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2008,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2008,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2008,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,763.2
HUN,Hungary,Budapest,2008,Share of students in higher education in the total population (per 1000 persons),97
HUN,Hungary,Budapest,2008,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2009,Number of children 0-4 in day care or school,"62,663"
HUN,Hungary,Budapest,2009,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2009,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","158,492"
HUN,Hungary,Budapest,2009,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2009,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2009,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2009,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,767.5
HUN,Hungary,Budapest,2009,Share of students in higher education in the total population (per 1000 persons),93
HUN,Hungary,Budapest,2009,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2010,Number of children 0-4 in day care or school,"66,133"
HUN,Hungary,Budapest,2010,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2010,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","157,394"
HUN,Hungary,Budapest,2010,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2010,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2010,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2010,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,784
HUN,Hungary,Budapest,2010,Share of students in higher education in the total population (per 1000 persons),91
HUN,Hungary,Budapest,2010,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2011,Number of children 0-4 in day care or school,"67,933"
HUN,Hungary,Budapest,2011,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2011,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","158,404"
HUN,Hungary,Budapest,2011,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","94,525"
HUN,Hungary,Budapest,2011,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"524,888"
HUN,Hungary,Budapest,2011,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","377,071"
HUN,Hungary,Budapest,2011,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,848.5
HUN,Hungary,Budapest,2011,Share of students in higher education in the total population (per 1000 persons),92
HUN,Hungary,Budapest,2011,Proportion of working age population qualified at level 3 or 4 ISCED,52.7
HUN,Hungary,Budapest,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",37.8
HUN,Hungary,Budapest,2012,Number of children 0-4 in day care or school,"69,149"
HUN,Hungary,Budapest,2012,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2012,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","154,235"
HUN,Hungary,Budapest,2012,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2012,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2012,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2012,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,827.7
HUN,Hungary,Budapest,2012,Share of students in higher education in the total population (per 1000 persons),89
HUN,Hungary,Budapest,2012,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2013,Number of children 0-4 in day care or school,"67,566"
HUN,Hungary,Budapest,2013,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2013,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
HUN,Hungary,Budapest,2013,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2013,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2013,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2013,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,799.3
HUN,Hungary,Budapest,2013,Share of students in higher education in the total population (per 1000 persons),-
HUN,Hungary,Budapest,2013,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2014,Number of children 0-4 in day care or school,-
HUN,Hungary,Budapest,2014,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2014,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
HUN,Hungary,Budapest,2014,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2014,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2014,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2014,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
HUN,Hungary,Budapest,2014,Share of students in higher education in the total population (per 1000 persons),-
HUN,Hungary,Budapest,2014,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2015,Number of children 0-4 in day care or school,"67,072"
HUN,Hungary,Budapest,2015,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2015,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","151,036"
HUN,Hungary,Budapest,2015,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2015,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2015,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2015,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,787.1
HUN,Hungary,Budapest,2015,Share of students in higher education in the total population (per 1000 persons),86
HUN,Hungary,Budapest,2015,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2016,Number of children 0-4 in day care or school,-
HUN,Hungary,Budapest,2016,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2016,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
HUN,Hungary,Budapest,2016,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2016,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2016,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2016,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
HUN,Hungary,Budapest,2016,Share of students in higher education in the total population (per 1000 persons),-
HUN,Hungary,Budapest,2016,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
HUN,Hungary,Budapest,2017,Number of children 0-4 in day care or school,-
HUN,Hungary,Budapest,2017,"Share of early leavers from education and training, total -%",-
HUN,Hungary,Budapest,2017,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
HUN,Hungary,Budapest,2017,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
HUN,Hungary,Budapest,2017,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
HUN,Hungary,Budapest,2017,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
HUN,Hungary,Budapest,2017,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
HUN,Hungary,Budapest,2017,Share of students in higher education in the total population (per 1000 persons),-
HUN,Hungary,Budapest,2017,Proportion of working age population qualified at level 3 or 4 ISCED,-
HUN,Hungary,Budapest,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2008,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2008,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2008,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
DNK,Denmark,Copenhagen,2008,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
DNK,Denmark,Copenhagen,2008,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
DNK,Denmark,Copenhagen,2008,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
DNK,Denmark,Copenhagen,2008,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2008,Share of students in higher education in the total population (per 1000 persons),-
DNK,Denmark,Copenhagen,2008,Proportion of working age population qualified at level 3 or 4 ISCED,-
DNK,Denmark,Copenhagen,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2009,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2009,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2009,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
DNK,Denmark,Copenhagen,2009,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
DNK,Denmark,Copenhagen,2009,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
DNK,Denmark,Copenhagen,2009,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
DNK,Denmark,Copenhagen,2009,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2009,Share of students in higher education in the total population (per 1000 persons),-
DNK,Denmark,Copenhagen,2009,Proportion of working age population qualified at level 3 or 4 ISCED,-
DNK,Denmark,Copenhagen,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2010,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2010,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2010,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","63,508"
DNK,Denmark,Copenhagen,2010,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","53,475"
DNK,Denmark,Copenhagen,2010,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"101,987"
DNK,Denmark,Copenhagen,2010,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","142,707"
DNK,Denmark,Copenhagen,2010,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2010,Share of students in higher education in the total population (per 1000 persons),-
DNK,Denmark,Copenhagen,2010,Proportion of working age population qualified at level 3 or 4 ISCED,-
DNK,Denmark,Copenhagen,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2011,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2011,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2011,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","67,565"
DNK,Denmark,Copenhagen,2011,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","51,815"
DNK,Denmark,Copenhagen,2011,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"100,553"
DNK,Denmark,Copenhagen,2011,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","147,749"
DNK,Denmark,Copenhagen,2011,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2011,Share of students in higher education in the total population (per 1000 persons),125
DNK,Denmark,Copenhagen,2011,Proportion of working age population qualified at level 3 or 4 ISCED,31.2
DNK,Denmark,Copenhagen,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",45.9
DNK,Denmark,Copenhagen,2012,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2012,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2012,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","68,128"
DNK,Denmark,Copenhagen,2012,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","50,473"
DNK,Denmark,Copenhagen,2012,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"99,695"
DNK,Denmark,Copenhagen,2012,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","152,817"
DNK,Denmark,Copenhagen,2012,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2012,Share of students in higher education in the total population (per 1000 persons),124
DNK,Denmark,Copenhagen,2012,Proportion of working age population qualified at level 3 or 4 ISCED,30.6
DNK,Denmark,Copenhagen,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",46.9
DNK,Denmark,Copenhagen,2013,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2013,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2013,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
DNK,Denmark,Copenhagen,2013,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
DNK,Denmark,Copenhagen,2013,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
DNK,Denmark,Copenhagen,2013,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
DNK,Denmark,Copenhagen,2013,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2013,Share of students in higher education in the total population (per 1000 persons),-
DNK,Denmark,Copenhagen,2013,Proportion of working age population qualified at level 3 or 4 ISCED,-
DNK,Denmark,Copenhagen,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2014,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2014,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2014,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
DNK,Denmark,Copenhagen,2014,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
DNK,Denmark,Copenhagen,2014,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
DNK,Denmark,Copenhagen,2014,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
DNK,Denmark,Copenhagen,2014,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2014,Share of students in higher education in the total population (per 1000 persons),-
DNK,Denmark,Copenhagen,2014,Proportion of working age population qualified at level 3 or 4 ISCED,-
DNK,Denmark,Copenhagen,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2015,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2015,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2015,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
DNK,Denmark,Copenhagen,2015,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
DNK,Denmark,Copenhagen,2015,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
DNK,Denmark,Copenhagen,2015,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
DNK,Denmark,Copenhagen,2015,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2015,Share of students in higher education in the total population (per 1000 persons),-
DNK,Denmark,Copenhagen,2015,Proportion of working age population qualified at level 3 or 4 ISCED,-
DNK,Denmark,Copenhagen,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2016,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2016,"Share of early leavers from education and training, total -%",-
DNK,Denmark,Copenhagen,2016,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",-
DNK,Denmark,Copenhagen,2016,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
DNK,Denmark,Copenhagen,2016,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
DNK,Denmark,Copenhagen,2016,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
DNK,Denmark,Copenhagen,2016,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
DNK,Denmark,Copenhagen,2016,Share of students in higher education in the total population (per 1000 persons),-
DNK,Denmark,Copenhagen,2016,Proportion of working age population qualified at level 3 or 4 ISCED,-
DNK,Denmark,Copenhagen,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DNK,Denmark,Copenhagen,2017,Number of children 0-4 in day care or school,-
DNK,Denmark,Copenhagen,2017,"Share of early leavers from education and training, total -%",-
